CLAVE UR,SERIE,BN CARTA,BN OFICIO,BN DC,COLOR CARTA,COLOR OFICIO,ENVIAR,COPIAR
UR-00D,CNNCP3C0XZ,0,0,0,0,0,0,0
UR-311,CNNCP3C0Y0,421,0,0,0,0,0,0
UR-511,CNNCP3C0Y4,880,0,0,0,0,0,0
UR-300,CNNCP3C0YD,14,0,0,0,0,0,0
UR-00D,JPBCM6503S,0,0,0,0,0,0,0
UR-00D,JPBCM65041,0,0,0,0,0,0,0
UR-00D,JPBCM6504G,0,0,0,0,0,0,0
UR-00D,JPBCM9D03L,0,0,0,0,0,0,0
UR-00D,JPBCMBF167,0,0,0,0,0,0,0
UR-00D,JPBCNB71DW,0,0,0,0,0,0,0
UR-00D,JPBCNB71J7,0,0,0,0,0,0,0
UR-210,JPBCNB71JL,8,0,0,99,0,0,0
UR-114,JPBCNB71JP,3,0,0,8,0,0,0
UR-00D,JPBCNB71JS,0,0,0,0,0,0,0
UR-00D,JPBCNB71JY,0,0,0,0,0,0,0
UR-312,JPBCNB71K0,18,0,0,405,0,0,0
UR-00D,JPBCNB71K1,0,0,0,0,0,0,0
UR-00D,JPBCNB71K4,0,0,0,0,0,0,0
UR-00D,JPBCNB71KC,0,0,0,0,0,0,0
UR-00D,JPBCNB71KG,0,0,0,0,0,0,0
UR-300,JPBCNB71KK,15,0,0,685,0,0,0
UR-314,JPBCNB71KQ,14,0,0,59,0,0,0
UR-00D,JPBCNB71KX,0,0,0,0,0,0,0
UR-00D,JPBCNB71KZ,0,0,0,0,0,0,0
UR-149,JPBCNB71L2,80,0,0,1261,0,0,0
UR-00D,JPBCNB71L7,0,0,0,0,0,0,0
UR-211,JPBCNB71LC,9,0,0,7,0,0,0
UR-151,JPBCNB71LF,459,0,0,33,0,0,0
UR-00D,JPBCNB71LJ,0,0,0,0,0,0,0
UR-148,JPBCNB71LS,6,0,0,10,0,0,0
UR-143,JPBCNB71LY,8,0,0,14,0,0,0
UR-150,JPBCNB71M2,55,0,0,261,0,0,0
UR-00D,JPBCNB71M6,0,0,0,0,0,0,0
UR-00D,JPBCNB71ML,0,0,0,0,0,0,0
UR-00D,JPBCNB71NR,0,0,0,0,0,0,0
UR-00D,JPBCNB71PB,0,0,0,0,0,0,0
UR-00D,JPBCNB71PK,0,0,0,0,0,0,0
UR-N00,JPBCNB71PT,262,9,0,4401,6,,0
UR-00D,JPBCNB71PZ,0,0,0,0,0,0,0
UR-00D,JPBCNB71Q1,0,0,0,0,0,0,0
UR-00D,JPBCNB71Q6,0,0,0,0,0,0,0
UR-00D,JPBCNB71Q9,0,0,0,0,0,0,0
UR-00D,JPBCNB71QG,0,0,0,0,0,0,0
UR0712,JPBCNB71QK,81,0,0,439,0,0,0
UR-00D,JPBCNB71QL,0,0,0,0,0,0,0
UR-00D,JPBCNB71QX,0,0,0,0,0,0,0
UR-00D,JPBCNB71R5,0,0,0,0,0,0,0
UR-00D,JPBCNB71XX,0,0,0,0,0,0,0
UR-122,JPBCNB71Y1,13,0,0,167,0,0,0
UR-K00,JPBCNB71Z2,45,0,0,336,0,0,0
UR-123,JPBCNB71ZC,16,0,0,192,0,0,0
UR-200,JPBCNB71ZD,194,0,0,653,0,0,0
UR-121,JPBCNB71ZH,29,0,0,321,0,0,0
UR-00D,JPBCNB71ZQ,0,0,0,0,0,0,0
UR-124,JPBCNB71ZT,13,0,0,45,0,0,0
UR-125,JPBCNB7201,15,0,0,130,0,0,0
UR-126,JPBCNB7205,24,0,0,30,0,0,0
UR-00D,JPBCNB720L,0,0,0,0,0,0,0
UR-N00,JPBCNB7213,97,0,0,1307,0,0,0
UR-200,JPBCP2915S,14,0,0,46,0,0,0
UR-710,JPBCP29164,316,0,0,1069,0,0,0
UR-00D,JPBCP2916M,0,0,0,0,0,0,0
UR-511,JPBCP2916P,14,0,0,530,0,0,0
UR-00D,JPBCP31017,0,0,0,0,0,0,0
UR-00D,JPBCP3104R,0,0,0,0,0,0,0
UR-140,JPBCP31059,8,0,0,22,0,0,0
UR-00D,JPBCP3105F,0,0,0,0,0,0,0
UR-141,JPBCP3105P,2551,0,0,167,1,0,0
UR-146,JPBCP3105S,16,0,0,78,0,0,0
UR-145,JPBCP3105W,86,0,0,284,0,0,0
UR-138,JPBCP3105Z,33,0,0,139,0,0,0
UR-139,JPBCP31062,229,0,0,38,0,0,0
